Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition,color_word_list,color_word_summary
The Refusal. A Novel,"West, Jane",1810,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://goo.gl/dOhZI3,,,,,,,,,,
"""To Make A Novel""",Anonymous,1810,Romantic,Poetry,Gothic Parody,,,,,,,Peripheral,"Norton, Gothic Readings",,,,,,,,,,,,,,,
"The Age; A Poem, Moral, Political, And Metaphysical",Anonymous,1810,Romantic,Poetry,Gothic,,,,,,,Peripheral,"Norton, Gothic Readings",,,,,https://goo.gl/h3DK7F,,,,,,,,,,
"The Italian Banditti, Or, The Secret History Of Henry And Matilda. A Romance. With Horrible Revenge Is Bound Hopeless Love. An Interesting Tale","Crookenden, Isaac",1811,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,"Chapbook, per http://www.oxforddnb.com.ezproxy.library.uvic.ca/view/article/63518",,,,,,,,
The Passions,"Dacre, Charlotte",1811,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Montalva, Or, Annals Of Guilt","Hamilton, Ann Mary",1811,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/montalvaorannal00hamigoog,,,,,,,,,,
"""Walpole'S Castle Of Otranto""","Scott, Sir Walter",1811,Romantic,Theory & Criticism,Review,Scottish,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,,,
"St. Irvyne, Or, The Rosicrurian. A Romance","Shelley, Percy",1811,Romantic,Novella,Gothic,English,,,,,,Central,"Tracy, The Gothic Novel (via Lawrence Evalyn)",ShelleyPercy_StIrvyne_GutenbergAus.txt,http://gutenberg.net.au/ebooks06/0606391h.html,,,,,,,,Aug-06,21-Mar-17,"Scott, Richard",,"['blackened', 'black', 'flinty', 'sulphurous', 'black', 'red', 'red', 'blue', 'white', 'black', 'blue', 'grey', 'lurid', 'red', 'wine', 'blue', 'white', 'yellow', 'yellow', 'cerulean', 'white', 'green', 'leaden-coloured', 'sanguine', 'natural', 'blood-red', 'sanguine', 'leaden-coloured', 'sulphurous']","{'blackened': 1, 'black': 3, 'flinty': 1, 'sulphurous': 2, 'red': 3, 'blue': 3, 'white': 3, 'grey': 1, 'lurid': 1, 'wine': 1, 'yellow': 2, 'cerulean': 1, 'green': 1, 'leaden-coloured': 2, 'sanguine': 2, 'natural': 1, 'blood-red': 1}"
Pyrenean Banditti. A Romance,"Sleath, Eleanor",1811,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"""The Foundling""","von Kleist, Heinrich",1811,German Romantic,Short Story,Gothic,German,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,,,,,,,,,,,,,,,
